Month,Avg_sunspot_count
01-01-2011,24.4117072
01-02-2011,28.73286524
01-03-2011,27.1407928
01-04-2011,27.14888362
01-05-2011,29.16461509
01-06-2011,29.43881922
01-07-2011,29.58859379
01-08-2011,30.84744817
01-09-2011,30.3145284
01-10-2011,30.13063591
01-11-2011,28.19036721
01-12-2011,28.93783924
01-01-2012,25.18333554
01-02-2012,28.59101701
01-03-2012,27.03755468
01-04-2012,27.77984213
01-05-2012,29.67931503
01-06-2012,29.69286627
01-07-2012,29.52168796
01-08-2012,30.57545542
01-09-2012,29.68453683
01-10-2012,29.6001558
01-11-2012,27.55356671
01-12-2012,28.83516323
01-01-2013,24.90716307
01-02-2013,28.26478945
01-03-2013,26.7134428
01-04-2013,27.49596146
01-05-2013,29.38906383
01-06-2013,29.38833227
01-07-2013,29.19956695
01-08-2013,30.24209642
01-09-2013,29.33156085
01-10-2013,29.25263268
01-11-2013,27.20021763
01-12-2013,28.51108216
01-01-2014,24.57357504
01-02-2014,27.92845859
01-03-2014,26.37722787
01-04-2014,27.16195106
01-05-2014,29.05470434
01-06-2014,29.05319014
01-07-2014,28.86346112
01-08-2014,29.90537479
01-09-2014,28.99376428
01-10-2014,28.9151349
01-11-2014,26.86240061
01-12-2014,28.17486892
01-01-2015,24.23684085
01-02-2015,27.59157411
01-03-2015,26.04034975
01-04-2015,26.82519373
01-05-2015,28.71792788
01-06-2015,28.7163708
01-07-2015,28.52658897
01-08-2015,29.5684689
01-09-2015,28.65679949
01-10-2015,28.57818648
01-11-2015,26.5254347
01-12-2015,27.83799088
01-01-2016,23.89993427
01-02-2016,27.25465929
01-03-2016,25.70343528
01-04-2016,26.48828588
01-05-2016,28.38101898
01-06-2016,28.37945955
01-07-2016,28.18967483
01-08-2016,29.23155291
01-09-2016,28.31988027
01-10-2016,28.24126816
01-11-2016,26.18851542
01-12-2016,27.50107642
01-01-2017,23.56301824
01-02-2017,26.91774281
01-03-2017,25.36651882
01-04-2017,26.15136978
01-05-2017,28.04410283
01-06-2017,28.04254326
01-07-2017,27.85275839
01-08-2017,28.89463636
01-09-2017,27.98296355
01-10-2017,27.90435149
01-11-2017,25.8515987
01-12-2017,27.16415996
01-01-2018,23.2261017
01-02-2018,26.58082624
01-03-2018,25.02960225
01-04-2018,25.81445323
01-05-2018,27.70718628
01-06-2018,27.7056267
01-07-2018,27.51584182
01-08-2018,28.55771979
01-09-2018,27.64604696
01-10-2018,27.56743491
01-11-2018,25.51468211
01-12-2018,26.82724339
01-01-2019,22.88918512
01-02-2019,26.24390967
01-03-2019,24.69268567
01-04-2019,25.47753666
01-05-2019,27.3702697
01-06-2019,27.36871013
01-07-2019,27.17892524
01-08-2019,28.22080321
01-09-2019,27.30913039
01-10-2019,27.23051833
01-11-2019,25.17776554
01-12-2019,26.49032681
01-01-2020,22.55226855
01-02-2020,25.90699309
01-03-2020,24.3557691
01-04-2020,25.14062008
01-05-2020,27.03335313
01-06-2020,27.03179355
01-07-2020,26.84200867
01-08-2020,27.88388664
01-09-2020,26.97221381
01-10-2020,26.89360175
01-11-2020,24.84084896
01-12-2020,26.15341024
